Municipality,Annual Electric Usage (MWh),Annual Electric Savings (MWh),Annual Electric Incentives ($),Annual Gas Usage (Therms),Annual Gas Savings (Therms),Annual Gas Incentives ($)
Millis,29544.838,-16.026,566464.02,1147268.496,26026.21,281037.07
Millville,9208.834,-54.553,286890.589,Suppressed,Suppressed,Suppressed
Milton,82281.946,177.151,793448.559,7280964.448,112324.061,1343888.138
Monroe,Suppressed,Suppressed,Suppressed,No Gas,No Gas,No Gas
Monson,26807.258,26.917,790594.984,109067.841,Suppressed,Suppressed
Montague,28584.766,-44.634,1261565.291,547706.099,Suppressed,Suppressed
Monterey,6349.288,Suppressed,Suppressed,No Gas,No Gas,No Gas
Montgomery,3374.292,Suppressed,Suppressed,No Gas,No Gas,No Gas
Mount Washington,1132.272,Suppressed,Suppressed,No Gas,No Gas,No Gas
Nahant,10013.925,56.56,176634.392,1152439.235,Suppressed,Suppressed
Nantucket,126560.267,154.04,922103.45,No Gas,No Gas,No Gas
Natick,111086.911,-203.519,1786228.017,6223078.754,131241.122,1725261.06
Needham,103564.009,-92.473,1416052.099,6766260.911,103274.952,1182644.581
New Ashford,961.443,Suppressed,Suppressed,No Gas,No Gas,No Gas
New Bedford,197782.481,1040.778,3962710.895,22258793.19,380627.279,10757688.99
New Braintree,3503.888,Suppressed,Suppressed,No Gas,No Gas,No Gas
New Marlborough,7747.753,Suppressed,Suppressed,No Gas,No Gas,No Gas
New Salem,3182.763,Suppressed,Suppressed,No Gas,No Gas,No Gas
Newbury,25437.025,21.206,720928.634,644436.606,Suppressed,Suppressed
Newburyport,56364.58,22.874,558620.37,4750112.777,82541.123,1042685.516
Newton,300272.545,848.285,2338559.497,28707314.52,446152.957,5216232.733
Norfolk,36423.086,-169.477,945634.819,471110.955,Suppressed,Suppressed
North Adams,30610.139,188.433,534808.628,2889019.009,11777.323,200666.71
North Andover,91045.905,1300.386,2345028.105,5563108.746,80353.078,882318.465
North Attleborough,Municipal,Municipal,Municipal,2504323.379,26299.034,413040.08
North Brookfield,15153.363,34.879,452440.53,413007.64,Suppressed,Suppressed
North Reading,Municipal,Municipal,Municipal,2611762.843,36837.58,490548.341
Northampton,69323.055,296.408,1938110.291,5010291.377,154247.39,2690243.317
Northborough,48492.446,-28.341,1177686.684,1836249.512,31530.602,401534.387
Northbridge,48919.41,-30.34,1655087.708,1375567.756,Suppressed,Suppressed
Northfield,10090.544,-108.303,620036.46,No Gas,No Gas,No Gas
Norton,56349.148,98.875,717687.368,2848567.759,27605.56,407878.303
Norwell,41478.447,-20.345,651784.973,1652364.684,21460.18,267309.099
Norwood,Municipal,Municipal,Municipal,5859487.954,108000.497,1700319.668
Oak Bluffs,34844.621,-123.481,1538178.48,No Gas,No Gas,No Gas
Oakham,7050.145,Suppressed,Suppressed,No Gas,No Gas,No Gas
Orange,24534.336,44.974,917290.893,No Gas,No Gas,No Gas
Orleans,37903.026,110.737,1666753.65,1421609.39,30091.473,375459.945
Otis,11323.7,106.423,355907.69,No Gas,No Gas,No Gas
Oxford,45182.445,189.816,1352853.46,57452.334,Suppressed,Suppressed
Palmer,41161.776,132.719,956666.895,92978.946,Suppressed,Suppressed
Paxton,Municipal,Municipal,Municipal,No Gas,No Gas,No Gas
Peabody,Municipal,Municipal,Municipal,7657155.803,153434.678,1840117.91
Pelham,5520.14,Suppressed,Suppressed,No Gas,No Gas,No Gas
Pembroke,57133.557,-72.452,867996.93,3000679.819,42107.66,816589.468
Pepperell,35264.362,19.962,822036.762,1396867.392,Suppressed,Suppressed
Peru,3202.507,Suppressed,Suppressed,No Gas,No Gas,No Gas
Petersham,4428.028,Suppressed,Suppressed,No Gas,No Gas,No Gas
Phillipston,6186.616,Suppressed,Suppressed,No Gas,No Gas,No Gas
Pittsfield,133044.004,854.259,3261011.325,12038153.97,68467.877,1261257.99
Plainfield,2495.124,Suppressed,Suppressed,No Gas,No Gas,No Gas
